Date,UCSF,UCSD,UCLA,UCD,UCI
03-18-2020,8,10,18,4,1
03-19-2020,9,11,20,6,2
03-20-2020,12,11,22,7,4
03-21-2020,10,10,23,7,5
03-22-2020,11,10,21,8,3
03-23-2020,12,10,23,11,5
03-24-2020,10,11,24,12,5
03-25-2020,12,12,28,16,5
03-26-2020,14,15,34,16,5
03-27-2020,16,15,35,12,6
03-28-2020,15,16,35,14,7
03-29-2020,15,18,35,18,8
03-30-2020,17,17,39,19,8
03-31-2020,16,19,39,18,6
04-01-2020,16,19,36,19,8
04-02-2020,16,20,39,18,8
04-03-2020,16,22,41,18,9
04-04-2020,16,26,43,19,10
04-05-2020,18,23,40,20,11
04-06-2020,18,22,43,20,10
04-07-2020,22,23,44,21,11
04-08-2020,21,22,45,21,12
04-09-2020,20,22,45,18,9
04-10-2020,20,22,44,19,9
04-11-2020,22,24,42,20,9
04-12-2020,22,25,39,20,9
04-13-2020,20,27,42,21,8
04-14-2020,20,31,42,21,14
04-15-2020,19,30,41,20,16
04-16-2020,18,29,43,19,18
04-17-2020,19,26,43,19,20
04-18-2020,16,24,44,18,16
04-19-2020,16,24,45,18,15
04-20-2020,17,28,49,17,17
04-21-2020,18,29,51,15,17
04-22-2020,20,29,50,14,17
04-23-2020,19,32,51,15,15
04-24-2020,17,33,51,16,15
04-25-2020,14,31,51,16,13
04-26-2020,16,31,51,15,14
04-27-2020,17,32,50,14,15
04-28-2020,20,30,55,11,14
04-29-2020,22,31,59,11,14
04-30-2020,20,31,60,10,18
05-01-2020,20,33,58,9,18
05-02-2020,24,32,54,9,18
05-03-2020,24,30,53,7,18
05-04-2020,24,29,48,7,16
05-05-2020,23,25,47,7,18
05-06-2020,17,32,51,4,20
05-07-2020,15,31,53,3,18
05-08-2020,14,29,52,3,18
05-09-2020,13,29,50,4,17
05-10-2020,13,31,48,4,15
05-11-2020,14,36,47,4,17
05-12-2020,15,35,44,4,18
05-13-2020,14,40,38,4,17
05-14-2020,13,42,39,3,21
05-15-2020,12,43,39,4,20
05-16-2020,13,37,37,3,20
05-17-2020,14,37,37,3,23
05-18-2020,15,35,37,3,20
05-19-2020,16,36,37,3,19
05-20-2020,17,36,33,3,20
05-21-2020,16,35,32,2,24
05-22-2020,16,36,32,2,23
05-23-2020,17,33,32,3,24
05-24-2020,18,38,33,3,25
05-25-2020,17,41,33,2,25
05-26-2020,17,42,35,2,27
05-27-2020,16,40,33,3,28
05-28-2020,15,42,36,2,27
05-29-2020,13,42,37,4,30
05-30-2020,14,41,34,4,30
05-31-2020,14,44,34,5,30
06-01-2020,14,54,36,5,39
06-02-2020,13,55,39,6,38
06-03-2020,13,50,39,4,39
06-04-2020,11,46,35,5,43
06-05-2020,14,41,32,5,45
06-06-2020,13,37,27,5,46
06-07-2020,14,38,26,4,49
06-08-2020,16,41,28,5,52
06-09-2020,18,42,29,6,48
06-10-2020,18,43,28,7,47
06-11-2020,20,39,27,5,46
06-12-2020,19,40,28,4,48
06-13-2020,20,37,24,4,48
06-14-2020,19,35,26,6,50
06-15-2020,18,39,27,8,55
06-16-2020,16,39,27,8,53
06-17-2020,15,39,27,9,54
06-18-2020,14,38,25,10,48
06-19-2020,,,,,
06-20-2020,,,,,
06-21-2020,,,,,
06-22-2020,,,,,
06-23-2020,,,,,
06-24-2020,,,,,
06-25-2020,,,,,
06-26-2020,,,,,
06-27-2020,,,,,
06-28-2020,,,,,
06-29-2020,,,,,
06-30-2020,,,,,
07-01-2020,,,,,
07-02-2020,,,,,
07-03-2020,,,,,
07-04-2020,,,,,
07-05-2020,,,,,
07-06-2020,,,,,
07-07-2020,,,,,
07-08-2020,,,,,
07-09-2020,,,,,
07-10-2020,,,,,
07-11-2020,,,,,
07-12-2020,,,,,
07-13-2020,,,,,
07-14-2020,,,,,
07-15-2020,,,,,